year,origin_state,destination_state,tourists_thousands
2021,W.P. Kuala Lumpur,Sarawak,57.13
2021,W.P. Kuala Lumpur,W.P. Kuala Lumpur,193.848
2021,W.P. Kuala Lumpur,W.P. Labuan,4.453
2021,W.P. Kuala Lumpur,W.P. Putrajaya,13.004
2021,W.P. Labuan,Johor,0.0
2021,W.P. Labuan,Kedah,1.81
2021,W.P. Labuan,Kelantan,0.0
2021,W.P. Labuan,Melaka,0.0
2021,W.P. Labuan,Negeri Sembilan,0.0
2021,W.P. Labuan,Pahang,0.0
2021,W.P. Labuan,Pulau Pinang,0.0
2021,W.P. Labuan,Perak,0.0
2021,W.P. Labuan,Perlis,0.0
2021,W.P. Labuan,Selangor,0.0
2021,W.P. Labuan,Terengganu,0.0
2021,W.P. Labuan,Sabah,2.453
2021,W.P. Labuan,Sarawak,0.0
2021,W.P. Labuan,W.P. Kuala Lumpur,0.0
2021,W.P. Labuan,W.P. Labuan,0.0
2021,W.P. Labuan,W.P. Putrajaya,0.0
2021,W.P. Putrajaya,Johor,2.864
2021,W.P. Putrajaya,Kedah,4.262
2021,W.P. Putrajaya,Kelantan,9.249
2021,W.P. Putrajaya,Melaka,5.497
2021,W.P. Putrajaya,Negeri Sembilan,7.231
2021,W.P. Putrajaya,Pahang,11.198
2021,W.P. Putrajaya,Pulau Pinang,4.561
2021,W.P. Putrajaya,Perak,7.649
2021,W.P. Putrajaya,Perlis,3.855
2021,W.P. Putrajaya,Selangor,0.773
2021,W.P. Putrajaya,Terengganu,14.301
2021,W.P. Putrajaya,Sabah,0.722
2021,W.P. Putrajaya,Sarawak,0.38
2021,W.P. Putrajaya,W.P. Kuala Lumpur,2.344
2021,W.P. Putrajaya,W.P. Labuan,0.0
2021,W.P. Putrajaya,W.P. Putrajaya,1.032
2022,Johor,Johor,1999.427
2022,Johor,Kedah,628.52
2022,Johor,Kelantan,486.13
2022,Johor,Melaka,717.314
2022,Johor,Negeri Sembilan,460.621
2022,Johor,Pahang,429.28
2022,Johor,Pulau Pinang,167.187
2022,Johor,Perak,284.141
2022,Johor,Perlis,78.514
2022,Johor,Selangor,441.541
2022,Johor,Terengganu,162.787
2022,Johor,Sabah,27.937
2022,Johor,Sarawak,13.632
2022,Johor,W.P. Kuala Lumpur,484.932
